bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x05ab9a87c517d865a39d5eaba40089f2ba0ccd0286b69c1653ba6668f88360bb,3.000000,arbitrum_sepolia
,,0x65abb39a4c63a459c4add5af08e7877e546be577,0xd0e94d95a294f4d766337939523d056637d40090fd7191183391b87487fe68c3,0.014762,arbitrum_sepolia
,,0x65abb39a4c63a459c4add5af08e7877e546be577,0xe76082b4ff44fe0e232337985929cd644a3b7ea0d5cd1300269cf95841e96279,0.014874,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xfd707168d7ca0c50346835c50580da42004cd3b685b2db57cce17925d937e9c2,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xb08c58e9ae4780d8de43b8046fcffed3ee9df4e3cb5f6c5e56f37628d0b87050,3.000000,arbitrum_sepolia
,,0x99677aab4b168c274a34525d526346fc47fab72c,0x900105ca268306c75dfe7876b2a1c520f78bf85d16cfc3cb6cbd73fa5d0beafe,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x9b7970e9cc5a37bf66bdf327dc0ba098dce8e4036ac3b594ae094077e80ffd9f,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x02c3ec5bcaa185a1611d65ffb518e9b784dc1631b1e57debc6b974467f827432,1.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x3266cd766e53d8fa7e93a98a61d19f4dd62df194afce15461d2ec1236a078bd7,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x1b47e7e441b83ec83fae7cbe9da2f3c8fc451af239983aa0681b5ef7ca81bf75,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x3232be6a7e38edc9f20a98a5f89aca3a76e27f7e3cf773cd17877e74ccdc4113,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x133d60975a5d646d385f2207c0ecca96107510ddcdc31718ab23dc1993a8f8c1,3.000000,arbitrum_sepolia
0.0045,0.0005000000000000004,0x451cb2d3b685163fd8f1730497fa4518ee7cbaaf,0xbae595b0433a6754bf2b43f94e0cb89d10d3f254db221457ce7285d020812303,0.995000,arbitrum_sepolia
0.0045,0.0005000000000000004,0x451cb2d3b685163fd8f1730497fa4518ee7cbaaf,0xb52c306d3bf436d88c26a47b5754b77949583c939edfe7303f5677891099fed4,0.995000,arbitrum_sepolia
,,0x2f22d4e4a97b7b9f594be438e24f2795d95f0e4f,0x7220d8876f21b6b58895d0c0084c41763de819180c4eb08e24b4b2f85d1cfb42,10.000000,arbitrum_sepolia
,,0x0cfb00dc12f550d47a511bb98b9fae1d1240dcba,0xba6dd896b7bfd2dd63301cbaa00cf64e1c349266075da064bd3bd6ad93427148,20.000000,arbitrum_sepolia
,,0x872f55279d06c3087c8df4f624aa499d02aac791,0xe0a74517dee66f7802fd35095d15259e8c0bf400fc343f16536b2e55cf28baf6,200.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xc18bbc9d474cd946f6550547d0d9347864044f2b55f22d7d15961f985605baea,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x0c8a92e6c155dba4676fceb713048b099f16dda7f4c2cd353b19e9318f4f6113,3.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x765c0d92b5ba540a170ee66c477461ca5c51fade,0x346d63c6afd5716b6c53d2986aab25abbd86f021e6a33d6c3147bc09ddea34be,9.990000,arbitrum_sepolia
,,0x3f867996d3d8172f24e7035599c7eca463821dac,0x98e59ba1c6525381ccf5fac07fec5a2c9b82a23aa7e256ac58f3ffe35c552512,50.000000,arbitrum_sepolia
,,0x99677aab4b168c274a34525d526346fc47fab72c,0xf1937d6c4612c94529bb863789edae541e866b86da8a186ee382fe21a7d33a72,4.000000,arbitrum_sepolia
,,0x1131dd5986d5dc91399ebfe42d211394baa2f0eb,0xe046e07cd03d6e13fe7b671507317d59e5604f96f7ad70b5c97074b748ac01d8,2.000000,arbitrum_sepolia
,,0x750991b991586b10883386a25c18862e895d39a4,0xecf63c47a2b9bbf644b5bf340a577daa26df03ecfae2dd1b15ef313bf1796081,50.000000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0xfe7c4568bad294c035484b415054a5ac09d5f26b17ebed1294acf4d6ef16194a,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x5546eba1a9ba43d6e43c21c632255d3225bcdf6d5ac6b7c8a29a288c886f9d5e,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x470110dbea4c6124a58939ae953867a9ee0457371d94e7076db1e733daf2af88,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x95c59566702d78bcd0f03e281e4695cf6f27dbe0eddf1dd8e29442b8e6abeb1d,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x648a7e815f7bcad444d097dd6ee53647a0e066c984c010c64faa51ee6a410ae8,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x3944c76857005080db1712d27fd034dd611189c2ffa5bf0fd4883a967be23673,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x505484040c76d22130ce4005e1573a8991d03a275c3492a9b5908b7083d9f583,0.100000,arbitrum_sepolia
,,0xfc6c9e17a00ee71378c497360476a99b8f10a029,0x40632ae977d8d9dac1116873a974067de598090cf0d539d3c45aac9fe29ee5d0,0.100000,arbitrum_sepolia
